DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Drop it,"Gather cookie sheet and several items that can be safely dropped,, demonstrate dropping each item and discuss each sound made",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75387,Cognitive ,12 - 18,,"C, 42",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75803,Curiosity,Attention,,
LLD 5: Interest in Literacy,"Responding Later, Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Drop it,"Gather cookie sheet and several items that can be safely dropped,, demonstrate dropping each item and discuss each sound made",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75387,Cognitive,12 - 18,,"C, 42",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75803,Curiosity,Attention,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Color Day,"Have a color day for each of the primary colors, red, blue, yellow. Do activities that correspond with color of the day.",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75388,Cognitive ,12 - 18,,"C, 43",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75802,Curiosity,Attention,,
ATL-REG 2: Self-Comforting,Responding Later,Planned Learning Activity,Frog Street Infant,Sandbox Treasures,"Bury small objects in a sandbox and challenge little ones to use strainers or look for buried ""treasure"" and then describe the objects they find",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75389,Cognitive,12 - 18,,"C, 44",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75804,Curiosity,Attention,,
COG 2: Classification,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Sandbox Treasures,"Bury small objects in a sandbox and challenge little ones to use strainers or look for buried ""treasure"" and then describe the objects they find",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75389,Cognitive,12 - 18,,"C, 44",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75804,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Sandbox Treasures,"Bury small objects in a sandbox and challenge little ones to use strainers or look for buried ""treasure"" and then describe the objects they find",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75389,Cognitive ,12 - 18,,"C, 44",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75804,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Sandbox Treasures,"Bury small objects in a sandbox and challenge little ones to use strainers or look for buried ""treasure"" and then describe the objects they find",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75389,Cognitive,12 - 18,,"C, 44",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75804,Curiosity,Attention,,
LLD 3: Communication and Use of Language (Expressive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Sandbox Treasures,"Bury small objects in a sandbox and challenge little ones to use strainers or look for buried ""treasure"" and then describe the objects they find",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75389,Cognitive,12 - 18,,"C, 44",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75804,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Shadow Match,"Make black shadow cards that are the shape of simple items babies see often (such as bottles, rattles, balls, and books) and challenge little ones to match objects to their same shape shadow",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75390,Cognitive,12 - 18,,"C, 45",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75807,Curiosity,Attention,,
COG 2: Classification,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Shadow Match,"Make black shadow cards that are the shape of simple items babies see often (such as bottles, rattles, balls, and books) and challenge little ones to match objects to their same shape shadow",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75390,Cognitive,12 - 18,,"C, 45",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75807,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Shadow Match,"Make black shadow cards that are the shape of simple items babies see often (such as bottles, rattles, balls, and books) and challenge little ones to match objects to their same shape shadow",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75390,Cognitive,12 - 18,,"C, 45",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75807,Curiosity,Attention,,
LLD 1: Understanding of Language (Receptive),"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Shadow Match,"Make black shadow cards that are the shape of simple items babies see often (such as bottles, rattles, balls, and books) and challenge little ones to match objects to their same shape shadow",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75390,Cognitive,12 - 18,,"C, 45",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75807,Curiosity,Attention,,
LLD 2: Responsiveness to Language,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Shadow Match,"Make black shadow cards that are the shape of simple items babies see often (such as bottles, rattles, balls, and books) and challenge little ones to match objects to their same shape shadow",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75390,Cognitive,12 - 18,,"C, 45",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75807,Curiosity,Attention,,
COG 2: Classification,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Shoe Match,Invite children to organize an assortment of shoes or mittens into pairs to learn how to differentiate objects so they can feel comfortable retrieving what you ask for,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75391,Cognitive,12 - 18,,"C, 46",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75809,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Shoe Match,Invite children to organize an assortment of shoes or mittens into pairs to learn how to differentiate objects so they can feel comfortable retrieving what you ask for,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75391,Cognitive,12 - 18,,"C, 46",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75809,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Nesting Cups,Organize nesting cups so they fit inside one another,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75392,Cognitive ,12 - 18,,"C, 47",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75808,curiosity,attention,,
COG 2: Classification,"Exploring Earlier, Exploring Later",Planned Learning Activity,Frog Street Infant,Heart Hunt,"Cut several large hearts or other recognizable shapes from red construction paper and after showing children one of the hearts, hide them around the room so they can find them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75393,Cognitive,12 - 18,,"C, 48",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75806,Curiosity,Attention,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Heart Hunt,"Cut several large hearts or other recognizable shapes from red construction paper and after showing children one of the hearts, hide them around the room so they can find them",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75393,Cognitive ,12 - 18,,"C, 48",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75806,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Downhill Run,"Create an incline plane, invite small ones to roll small cars up the hill and talk to them about the difference between pushing a car up and letting it roll down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75394,Cognitive,12 - 18,,"C, 49",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75811,Curiosity,Attention,,
LLD 4: Reciprocal Communication and Conversation,"Responding Later, Exploring Earlier, Exploring Middle",Planned Learning Activity,Frog Street Infant,Downhill Run,"Create an incline plane, invite small ones to roll small cars up the hill and talk to them about the difference between pushing a car up and letting it roll down",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75394,Cognitive,12 - 18,,"C, 49",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75811,Curiosity,Attention,,
ATL-REG 5: Self-Control of Feelings and Behavior,"Responding Earlier, Responding Later",Planned Learning Activity,Frog Street Infant,Bubbles,Blow bubbles at eye level in front of baby,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75350,Cognitive,0 - 3,,"C, 5",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75648,Attention,Curiosity,,
COG 1: Spatial Relationships,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Dancing Shadows,"Make shadows and show how it is caused, how to make bigger/smaller, and do funny actions with shadows",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75395,Cognitive,12 - 18,,"C, 50",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75810,Curiosity,Attention,,
COG 3: Number Sense of Quantity,Exploring Earlier,Planned Learning Activity,Frog Street Infant,Dancing Shadows,"Make shadows and show how it is caused, how to make bigger/smaller, and do funny actions with shadows",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75395,Cognitive,12 - 18,,"C, 50",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75810,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Dancing Shadows,"Make shadows and show how it is caused, how to make bigger/smaller, and do funny actions with shadows",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75395,Cognitive,12 - 18,,"C, 50",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75810,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Dancing Shadows,"Make shadows and show how it is caused, how to make bigger/smaller, and do funny actions with shadows",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75395,Cognitive,12 - 18,,"C, 50",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75810,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Tunnel Trick,"Attach 2- foot ribbon to a small car and thread it through a empty paper towel tube and then invite them to do it, later do this with a ball and tape tubes to make longer tunnel",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75396,Cognitive,12 - 18,,"C, 51",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75816,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Tunnel Trick,"Attach 2- foot ribbon to a small car and thread it through a empty paper towel tube and then invite them to do it, later do this with a ball and tape tubes to make longer tunnel",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75396,Cognitive,12 - 18,,"C, 51",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75816,Curiosity,Attention,,
COG 8: Cause and Effect,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Ring that Bell,"Challenge little ones to toss a beanbag at a service bell to make bell ring, later do with ball, and challenge them to think of using other items",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75397,Cognitive,12 - 18,,"C, 52",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75812,Curiosity,Attention,,
COG 9: Inquiry Through Observation and Investigation,"Responding Later, Exploring Earlier",Planned Learning Activity,Frog Street Infant,Ring that Bell,"Challenge little ones to toss a beanbag at a service bell to make bell ring, later do with ball, and challenge them to think of using other items",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75397,Cognitive,12 - 18,,"C, 52",,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/49/detail/75812,Curiosity,Attention,,
